row_id,candidate,stage,family,spec_fingerprint,seed,mirror,reverse_insertion,threshold,coupling,load,spacing,train_spacing,allocation,genuine,expected_effect,learning_work,execution_work,queue_work,delivered,generation_checks,temporary_peak_count,temporary_peak_bytes_lower_bound,temporary_accounting,persistent_bytes,arrow_records,live_structures,proposals,deallocations,return_updates,eligibility_writes,pressure_updates,locus_firings,effect_firings,transmissions,crossings,false_conjunction,resistance_start,resistance_end,coupling_start,coupling_end,reversal_cost,deallocation_cost,reacquisition_cost,timing_tolerance,dense_attribution_ok,recursion_depth,heldout_reuse,replay_equal,naturally_quiescent,runaway,complete_fingerprint,permanent_fingerprint,row_pass
f1-aa-same-tick-s101-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-E,probe,same_source_bursts,6531644192620751336,101,false,false,2,1,0,0,0,2,false,false,0,19,1,3,3,2,80,LOWER_BOUND,160,1,0,0,0,0,1,0,1,1,NA,1,true,0,0,0,0,0,0,0,0,false,0,false,false,true,false,11912816746618124155,18061818152839034690,false
f1-aa-spacing-s101-m0-r0-t2-c1-l0-d-1-tr0-a2,CJ-E,probe,same_source_bursts,7797254934252566536,101,false,false,2,1,0,-1,0,2,false,false,0,9,1,2,2,2,80,LOWER_BOUND,160,1,0,0,0,0,0,0,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,14239308829934697798,18061818152839034690,true
f1-ab-distinct-s101-m0-r0-t2-c1-l0-d-1-tr0-a2,CJ-E,probe,same_source_bursts,6698241925936292638,101,false,false,2,1,0,-1,0,2,true,false,0,19,2,3,3,2,80,LOWER_BOUND,272,2,1,0,0,0,1,0,0,0,NA,0,false,30,30,1,1,0,0,0,0,false,0,false,false,true,false,3481895915828362602,3163710294032537549,true
f1-aa-spacing-s101-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-E,probe,same_source_bursts,2153557809473487532,101,false,false,2,1,0,0,0,2,false,false,0,19,1,3,3,2,80,LOWER_BOUND,160,1,0,0,0,0,1,0,1,1,NA,1,true,0,0,0,0,0,0,0,0,false,0,false,false,true,false,11912816746618124155,18061818152839034690,false
f1-ab-distinct-s101-m0-r0-t2-c1-l0-d0-tr0-a2,CJ-E,probe,same_source_bursts,13928083100540594971,101,false,false,2,1,0,0,0,2,true,true,0,30,1,4,4,2,80,LOWER_BOUND,272,2,1,0,0,0,2,0,1,1,NA,1,false,30,30,1,1,0,0,0,1,false,0,false,false,true,false,15223647878707701430,3163710294032537549,true
f1-aa-spacing-s101-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-E,probe,same_source_bursts,8245555799041666284,101,false,false,2,1,0,1,0,2,false,false,0,9,1,2,2,2,80,LOWER_BOUND,160,1,0,0,0,0,0,0,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,14239308829934697798,18061818152839034690,true
f1-ab-distinct-s101-m0-r0-t2-c1-l0-d1-tr0-a2,CJ-E,probe,same_source_bursts,15727687753127503356,101,false,false,2,1,0,1,0,2,true,false,0,18,1,3,3,2,80,LOWER_BOUND,272,2,1,0,0,0,1,0,0,0,NA,0,false,30,30,1,1,0,0,0,0,false,0,false,false,true,false,986785791409677866,3163710294032537549,true
f1-aa-spacing-s101-m0-r0-t2-c1-l0-d2-tr0-a2,CJ-E,probe,same_source_bursts,3552615874938462048,101,false,false,2,1,0,2,0,2,false,false,0,9,1,2,2,2,80,LOWER_BOUND,160,1,0,0,0,0,0,0,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,9464673651250057311,18061818152839034690,true
f1-ab-distinct-s101-m0-r0-t2-c1-l0-d2-tr0-a2,CJ-E,probe,same_source_bursts,10884032791693223584,101,false,false,2,1,0,2,0,2,true,false,0,18,1,3,3,2,80,LOWER_BOUND,272,2,1,0,0,0,1,0,0,0,NA,0,false,30,30,1,1,0,0,0,0,false,0,false,false,true,false,11961898157558986076,3163710294032537549,true
f1-aa-spacing-s101-m0-r0-t2-c1-l0-d3-tr0-a2,CJ-E,probe,same_source_bursts,14328829233621775288,101,false,false,2,1,0,3,0,2,false,false,0,9,1,2,2,2,80,LOWER_BOUND,160,1,0,0,0,0,0,0,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,14047420113340846768,18061818152839034690,true
f1-ab-distinct-s101-m0-r0-t2-c1-l0-d3-tr0-a2,CJ-E,probe,same_source_bursts,14864376973658420660,101,false,false,2,1,0,3,0,2,true,false,0,18,1,3,3,2,80,LOWER_BOUND,272,2,1,0,0,0,1,0,0,0,NA,0,false,30,30,1,1,0,0,0,0,false,0,false,false,true,false,17586432170024915350,3163710294032537549,true
f1-aa-spacing-s101-m0-r0-t2-c1-l0-d4-tr0-a2,CJ-E,probe,same_source_bursts,15689397683399372964,101,false,false,2,1,0,4,0,2,false,false,0,9,1,2,2,2,80,LOWER_BOUND,160,1,0,0,0,0,0,0,0,0,NA,0,false,0,0,0,0,0,0,0,0,false,0,false,false,true,false,9445966279315041809,18061818152839034690,true
